Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.02622,-0.00072845,0.059316,0,0,0,959.74,697.32,1.0435,-1.4803,2669.6,0.44075,3334.9,0,0,0,0,0,0,package://src_map/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_map/meshes/base_link.STL,,src_map-1,좌표계5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hurdle1_Link,-0.00817325540481217,0.00576176154380825,-1.38777878078145E-17,0,0,0,1.85599999999997,0.131230878023903,-0.0915897205767325,2.71700290636178E-17,0.0658741886427607,3.96064439150578E-17,0.195125333333331,0,0,0,0,0,0,package://src_map/meshes/hurdle1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_map/meshes/hurdle1_Link.STL,,src_hurdle-3,좌표계1,기준축1,hurdle1,revolute,2.0176,0.84026,0.09,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
hurdle2_Link,-0.0033148,0.0094346,1.3878E-17,0,0,0,1.856,0.022678,-0.060824,3.0419E-18,0.17443,3.0406E-18,0.19513,0,0,0,0,0,0,package://src_map/meshes/hurdle2_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_map/meshes/hurdle2_Link.STL,,src_hurdle-2,좌표계2,기준축2,hurdle2,revolute,2.3961,0.37985,0.09,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
hurdle3_Link,0.0043927,0.0089836,-1.3878E-17,0,0,0,1.856,0.038836,0.07675,-4.7401E-17,0.15827,2.0623E-17,0.19513,0,0,0,0,0,0,package://src_map/meshes/hurdle3_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_map/meshes/hurdle3_Link.STL,,src_hurdle-4,좌표계3,기준축3,hurdle3,revolute,2.3776,-0.39466,0.09,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
hurdle4_Link,0.00869551161437454,0.00493842867360439,1.38777878078145E-17,0,0,0,1.856,0.148365058441908,0.0835180427772801,-1.38831543059441E-17,0.0487400082247583,2.57793435805857E-17,0.195125333333333,0,0,0,0,0,0,package://src_map/meshes/hurdle4_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_map/meshes/hurdle4_Link.STL,,src_hurdle-1,좌표계4,기준축4,hurdle4,revolute,1.9201,-0.85934,0.09,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
line_Link,-6.66133814775094E-15,5.26662047306559E-15,-0.025,0,0,0,17.7562247326248,10.3551811753411,0.247520960774705,4.44433578259115E-16,40.9733025741136,1.01306879490953E-17,51.3210853224827,0,0,0,0,0,0,package://src_map/meshes/line_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_map/meshes/line_Link.STL,,src_line_2-1,좌표계6,기준축5,line,revolute,-0.53783,0.039373,0.05,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
