Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
LK_Link,0.0111276747678033,1.94862065386325E-07,-0.0467011594340601,0,0,0,0.0766833061478168,8.13835258979848E-05,-5.3753940049853E-13,-6.82632129314703E-06,8.60266643258083E-05,-1.57628398340406E-12,1.2622932439864E-05,0,0,0,0,0,0,package://src_whole/meshes/LK_Link.STL,0.968627450980392,0.968627450980392,0.968627450980392,1,0,0,0,0,0,0,package://src_whole/meshes/LK_Link.STL,,LK-1,LK,LKl,LK,revolute,0.0008,0,-0.12,0,0,0,LPd_Link,0,-1,0,0,0,0,0,,,,,,,,
LAP_Link,-0.0199274436970726,-3.50764599975489E-05,0.0148075586274029,0,0,0,0.186246783228343,7.3206229639809E-05,-2.13055245059606E-09,8.42502485765701E-07,6.58556520206296E-05,3.60642133292609E-07,4.46475355735441E-05,0,0,0,0,0,0,package://src_whole/meshes/LAP_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/LAP_Link.STL,,LA-1,LA,LAP,LAP,revolute,-0.00079565,0,-0.12,0,0,0,LK_Link,0,-1,0,0,0,0,0,,,,,,,,
LAR_Link,-0.0265999999999998,2.10111819470837E-08,-0.0197134610159774,0,0,0,0.00840381240077212,2.59254240262507E-06,-2.03594544858161E-22,1.87534589317395E-22,1.3986189914568E-06,-1.21059550544972E-11,1.22893929617148E-06,0,0,0,0,0,0,package://src_whole/meshes/LAR_Link.STL,0.925490196078431,0.925490196078431,0.925490196078431,1,0,0,0,0,0,0,package://src_whole/meshes/LAR_Link.STL,,ankle-2,LA,LAR,LAR,revolute,0,0,0,0,0,0,LAP_Link,-1,0,0,0,0,0,0,,,,,,,,
LS_Link,0.00471890565254696,0.00668999646805382,0.0070711085407022,0,0,0,0.145082768731353,0.000115541639630402,3.63269540067987E-13,1.46992094570901E-12,0.000210296977122793,1.32915560839557E-06,0.000318707327283813,0,0,0,0,0,0,package://src_whole/meshes/LS_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/LS_Link.STL,,LS-1,LS,LPY,LS,revolute,0.00079565,0,-0.05,0,0,0,LAR_Link,0,0,1,0,0,0,0,,,,,,,,
RSHP_Link,5.05358310753934E-10,-0.0102484524413763,-0.00163770551812467,0,0,0,0.0144695012225896,2.03926408348208E-06,-6.3954969169707E-13,-8.85004251820847E-14,6.57716531687297E-06,-2.36867353157236E-07,6.75696022924945E-06,0,0,0,0,0,0,package://src_whole/meshes/RSHP_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/RSHP_Link.STL,,src_shoulder-2,RSHP,RSHPl,RSHP,revolute,0.033212,-0.088193,0.054616,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
RSHR_Link,-0.0233452115729359,-0.000684322196430803,-0.0791778498091477,0,0,0,0.146207436573997,8.16862265605305E-05,4.8821602018686E-08,1.76669643053293E-06,7.43474727120352E-05,-1.52347697892699E-06,3.46704833049691E-05,0,0,0,0,0,0,package://src_whole/meshes/RSHR_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/RSHR_Link.STL,,elbow_R-1,RSHR,RSHRl,RSHR,revolute,0.020275,-0.025656,-0.01045,0,0,0,RSHP_Link,-1,0,0,0,0,0,0,,,,,,,,
RE_Link,0.0115140885327483,0.0202750000000001,-0.0540071318642939,0,0,0,0.0259694911902397,3.68213111100012E-05,4.73793030927533E-20,7.15914463101271E-07,3.12346533384092E-05,1.72746610222329E-20,6.75949596292807E-06,0,0,0,0,0,0,package://src_whole/meshes/RE_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/RE_Link.STL,,gripper_2-1,RE,REP,RE,revolute,-0.02075,-0.02075,-0.1231,0,0,0,RSHR_Link,0,1,0,0,0,0,0,,,,,,,,
LSHP_Link,-5.05358643820841E-10,0.0102484524413764,-0.00163770551812472,0,0,0,0.0144695012225895,2.03926408348207E-06,-6.39549689320741E-13,8.85004270467586E-14,6.57716531687295E-06,2.36867353157235E-07,6.75696022924943E-06,0,0,0,0,0,0,package://src_whole/meshes/LSHP_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/LSHP_Link.STL,,src_shoulder-1,LSHP,LSHPl,LSHP,revolute,0.033212,0.088307,0.054616,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
LSHR_Link,-0.0207397777704541,1.02222295450954E-05,-0.0612187136226038,0,0,0,0.123123831871186,4.41336395130152E-05,1.41884862487717E-10,-1.13936180735272E-07,4.1405112121774E-05,1.08534075577797E-07,2.93256792907984E-05,0,0,0,0,0,0,package://src_whole/meshes/LSHR_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/LSHR_Link.STL,,elbow_L-1,LSHR,LSHRl,LSHR,revolute,0.020275,0.025656,-0.01045,0,0,0,LSHP_Link,-1,0,0,0,0,0,0,,,,,,,,
LE_Link,3.33066907387547E-16,-0.0202749952457634,-0.0785896598029448,0,0,0,0.0479318072746173,7.80085387978043E-05,7.08556284351143E-20,1.52370046308185E-19,7.27678062360127E-05,1.80117770119725E-12,2.1793610322629E-05,0,0,0,0,0,0,package://src_whole/meshes/LE_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/LE_Link.STL,,src_hand-1,LE,LEP,LE,revolute,-0.02075,0.02075,-0.1231,0,0,0,LSHR_Link,0,-1,0,0,0,0,0,,,,,,,,
NY_Link,-0.00846104357244815,-1.48520606417513E-06,-0.0111755305906017,0,0,0,0.0588745430981537,1.41764433677202E-05,1.41874516285518E-09,-1.8275560053619E-07,1.41936987818952E-05,2.61312463555199E-12,1.67049454933915E-05,0,0,0,0,0,0,package://src_whole/meshes/NY_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/NY_Link.STL,,neck_yaw-1,NY,NYAW,NY,revolute,0.038812,5.7474E-05,0.086566,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
NP_Link,-0.000876154267045903,0.019782194687634,0.0385017098571392,0,0,0,0.140815797076505,0.000130899546914091,-3.21261177172063E-07,1.07462455995031E-07,2.57792831914021E-05,-5.11711883900831E-07,0.000128105315305169,0,0,0,0,0,0,package://src_whole/meshes/NP_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/NP_Link.STL,,head-1,NP,NPIT,NP,revolute,0,-0.020275,0.0295,0,0,0,NY_Link,0,1,0,0,0,0,0,,,,,,,,
